license_plate,serviceOnDuty,id,location/type,location/coordinates/0,location/coordinates/1,emergencyVehicleType,observationDateTime
KA51G5250,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.528404,13.071384,AMBULANCE,2022-01-01T10:31:02+05:30
KA40G473,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.500259,12.951159,AMBULANCE,2022-01-01T10:31:04+05:30
KA02G1607,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.640602,12.952862,MOTORCYCLE AMBULANCE,2022-01-01T10:31:06+05:30
KA51G5256,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.651466,12.87256,AMBULANCE,2022-01-01T10:31:08+05:30
KA51G5246,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.578629,12.804112,AMBULANCE,2022-01-01T10:31:01+05:30
KA51G5253,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.391014,13.099138,AMBULANCE,2022-01-01T10:31:08+05:30
KA02G1658,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.514168,12.913483,MOTORCYCLE AMBULANCE,2022-01-01T10:31:02+05:30
KA51G5028,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.55233,12.976235,AMBULANCE,2022-01-01T10:31:04+05:30
KA01G6693,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.509743,12.80695,AMBULANCE,2022-01-01T10:31:00+05:30
KA51G5235,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.794128,12.859723,AMBULANCE,2022-01-01T10:31:07+05:30
KA51G5240,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.711227,12.801132,AMBULANCE,2022-01-01T10:31:04+05:30
KA40G430,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.554024,12.997616,AMBULANCE,2022-01-01T10:31:06+05:30
KA40G425,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.59433,13.009661,AMBULANCE,2022-01-01T10:31:15+05:30
KA02G1607,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.640175,12.95225,MOTORCYCLE AMBULANCE,2022-01-01T10:31:16+05:30
KA02G1615,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.788742,12.861463,MOTORCYCLE AMBULANCE,2022-01-01T10:31:17+05:30
KA51G5040,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.566589,12.884131,AMBULANCE,2022-01-01T10:31:15+05:30
KA51G5027,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.615242,12.960932,AMBULANCE,2022-01-01T10:31:12+05:30
KA51G5235,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.793938,12.859772,AMBULANCE,2022-01-01T10:31:17+05:30
KA51G5247,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.497192,12.931257,AMBULANCE,2022-01-01T10:31:10+05:30
KA40G430,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.554138,12.997708,AMBULANCE,2022-01-01T10:31:16+05:30
KA01G6693,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.50975,12.80695,AMBULANCE,2022-01-01T10:31:10+05:30
KA51G5250,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.528404,13.071385,AMBULANCE,2022-01-01T10:31:12+05:30
KA51G5246,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.578629,12.804112,AMBULANCE,2022-01-01T10:31:11+05:30
KA51G5253,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.391022,13.099151,AMBULANCE,2022-01-01T10:31:19+05:30
KA51G5028,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.552559,12.977056,AMBULANCE,2022-01-01T10:31:14+05:30
KA01G6713,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.736671,13.036692,AMBULANCE,2022-01-01T10:31:08+05:30
KA02G1607,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.639664,12.951346,MOTORCYCLE AMBULANCE,2022-01-01T10:31:26+05:30
KA51G5026,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.618729,13.020873,AMBULANCE,2022-01-01T10:31:23+05:30
KA51G5246,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.578629,12.804112,AMBULANCE,2022-01-01T10:31:21+05:30
KA51G5247,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.497192,12.931251,AMBULANCE,2022-01-01T10:31:22+05:30
KA51G5251,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.582939,12.973241,AMBULANCE,2022-01-01T10:31:26+05:30
